Estado;Região;Ano;Depósitos
Tocantins;Norte;1998;1
Acre;Norte;1998;
Roraima;Norte;1998;
São Paulo;Sudeste;1999;2855
Rio Grande do Sul;Sul;1999;520
Minas Gerais;Sudeste;1999;519
Paraná;Sul;1999;503
Rio de Janeiro;Sudeste;1999;485
Santa Catarina;Sul;1999;364
Distrito Federal;Centro-Oeste;1999;131
Espírito Santo;Sudeste;1999;99
Pernambuco;Nordeste;1999;92
Bahia;Nordeste;1999;86
Goiás;Centro-Oeste;1999;70
Ceará;Nordeste;1999;66
Mato Grosso;Centro-Oeste;1999;40
Mato Grosso do Sul;Centro-Oeste;1999;25
Maranhão;Nordeste;1999;22
Rio Grande do Norte;Nordeste;1999;21
Amazonas;Norte;1999;17
Pará;Norte;1999;17
Alagoas;Nordeste;1999;16
Paraíba;Nordeste;1999;16
Rondônia;Norte;1999;7
Tocantins;Norte;1999;6
Piauí;Nordeste;1999;5
Sergipe;Nordeste;1999;2
Acre;Norte;1999;
Amapá;Norte;1999;
Roraima;Norte;1999;
São Paulo;Sudeste;2000;2880
Rio Grande do Sul;Sul;2000;556
Paraná;Sul;2000;539
Minas Gerais;Sudeste;2000;499
Rio de Janeiro;Sudeste;2000;499
Santa Catarina;Sul;2000;387
Distrito Federal;Centro-Oeste;2000;108
Goiás;Centro-Oeste;2000;97
Bahia;Nordeste;2000;87
Espírito Santo;Sudeste;2000;80
Pernambuco;Nordeste;2000;72
Ceará;Nordeste;2000;56
Mato Grosso;Centro-Oeste;2000;38
Rio Grande do Norte;Nordeste;2000;23
Paraíba;Nordeste;2000;20
Maranhão;Nordeste;2000;17
Mato Grosso do Sul;Centro-Oeste;2000;17
Amazonas;Norte;2000;16
Sergipe;Nordeste;2000;13
Alagoas;Nordeste;2000;10
Piauí;Nordeste;2000;10
Pará;Norte;2000;9
Rondônia;Norte;2000;7
Roraima;Norte;2000;3
Tocantins;Norte;2000;3
Acre;Norte;2000;
Amapá;Norte;2000;
São Paulo;Sudeste;2001;3009
Rio Grande do Sul;Sul;2001;589
Paraná;Sul;2001;553
Rio de Janeiro;Sudeste;2001;516
Minas Gerais;Sudeste;2001;513
Santa Catarina;Sul;2001;469
Distrito Federal;Centro-Oeste;2001;110
Goiás;Centro-Oeste;2001;84
Espírito Santo;Sudeste;2001;83
Pernambuco;Nordeste;2001;78
Ceará;Nordeste;2001;71
Bahia;Nordeste;2001;67
Paraíba;Nordeste;2001;35
Mato Grosso;Centro-Oeste;2001;30
Mato Grosso do Sul;Centro-Oeste;2001;28
Pará;Norte;2001;20
Alagoas;Nordeste;2001;17
Amazonas;Norte;2001;17
Rio Grande do Norte;Nordeste;2001;13
Maranhão;Nordeste;2001;10
Sergipe;Nordeste;2001;10
Tocantins;Norte;2001;6
Piauí;Nordeste;2001;5
Rondônia;Norte;2001;5
Acre;Norte;2001;1
Amapá;Norte;2001;
Roraima;Norte;2001;
São Paulo;Sudeste;2002;3117
Rio Grande do Sul;Sul;2002;652
Paraná;Sul;2002;559
Rio de Janeiro;Sudeste;2002;515
Minas Gerais;Sudeste;2002;507
Santa Catarina;Sul;2002;474
Distrito Federal;Centro-Oeste;2002;117
Bahia;Nordeste;2002;80
Pernambuco;Nordeste;2002;80
Goiás;Centro-Oeste;2002;76
Espírito Santo;Sudeste;2002;68
Ceará;Nordeste;2002;51
Paraíba;Nordeste;2002;35
Pará;Norte;2002;29
Mato Grosso;Centro-Oeste;2002;25
Amazonas;Norte;2002;21
Mato Grosso do Sul;Centro-Oeste;2002;18
Rondônia;Norte;2002;12
Alagoas;Nordeste;2002;11
Maranhão;Nordeste;2002;11
Tocantins;Norte;2002;8
Rio Grande do Norte;Nordeste;2002;7
Sergipe;Nordeste;2002;6
Amapá;Norte;2002;3
Roraima;Norte;2002;3
Acre;Norte;2002;1
Piauí;Nordeste;2002;1
São Paulo;Sudeste;2003;3299
Rio Grande do Sul;Sul;2003;734
Paraná;Sul;2003;661
Minas Gerais;Sudeste;2003;569
Santa Catarina;Sul;2003;557
Rio de Janeiro;Sudeste;2003;487
Bahia;Nordeste;2003;115
Goiás;Centro-Oeste;2003;111
Distrito Federal;Centro-Oeste;2003;92
Espírito Santo;Sudeste;2003;90
Pernambuco;Nordeste;2003;71
Ceará;Nordeste;2003;63
Mato Grosso;Centro-Oeste;2003;26
Alagoas;Nordeste;2003;25
Amazonas;Norte;2003;23
Paraíba;Nordeste;2003;23
Rio Grande do Norte;Nordeste;2003;23
Pará;Norte;2003;19
Mato Grosso do Sul;Centro-Oeste;2003;17
Rondônia;Norte;2003;10
Maranhão;Nordeste;2003;9
Sergipe;Nordeste;2003;9
Acre;Norte;2003;5
Roraima;Norte;2003;4
Tocantins;Norte;2003;4
Piauí;Nordeste;2003;3
Amapá;Norte;2003;1
São Paulo;Sudeste;2004;3376
Rio Grande do Sul;Sul;2004;726
Paraná;Sul;2004;703
Minas Gerais;Sudeste;2004;593
Rio de Janeiro;Sudeste;2004;579
Santa Catarina;Sul;2004;565
Goiás;Centro-Oeste;2004;122
Distrito Federal;Centro-Oeste;2004;114
Espírito Santo;Sudeste;2004;89
Bahia;Nordeste;2004;88
Ceará;Nordeste;2004;72
Pernambuco;Nordeste;2004;62
Amazonas;Norte;2004;37
