Campo_Tec;Area_Tec;Ano;Depósitos
Motores - bombas - turbinas;Engenharia mecânica;2010;146
Química de materiais básicos;Química;2010;144
Tecnologia aplicada ao meio ambiente;Química;2010;131
Materiais - metalurgia;Química;2010;123
Tecnologia audiovisual;Engenharia elétrica;2010;108
Química orgânica fina;Química;2010;97
Tecnologia da computação;Engenharia elétrica;2010;94
Biotecnologia;Química;2010;85
Máquinas têxteis e de papel;Engenharia mecânica;2010;82
Tecnologia de superfícies e revestimentos;Química;2010;73
Telecomunicações;Engenharia elétrica;2010;61
Métodos de gestão em TI;Engenharia elétrica;2010;55
Química macromolecular e polímeros;Química;2010;51
Ótica;Instrumentos;2010;29
Comunicação digital;Engenharia elétrica;2010;29
Análise de material biológico;Instrumentos;2010;22
Semicondutores;Engenharia elétrica;2010;10
Processos básicos de comunicação;Engenharia elétrica;2010;7
Microestruturas e nanotecnologia;Química;2010;7
Engenharia civil;Outras áreas;2011;581
Mobiliário - jogos;Outras áreas;2011;549
Outras maquinas especiais;Engenharia mecânica;2011;510
Transporte;Engenharia mecânica;2011;454
Outros bens de consumo;Outras áreas;2011;429
Manejo;Engenharia mecânica;2011;425
Tecnologia aplicada a medicina;Instrumentos;2011;392
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2011;280
Elementos mecânicos;Engenharia mecânica;2011;221
Engenharia química;Química;2011;205
Medição;Instrumentos;2011;200
Química de materiais básicos;Química;2011;187
Produtos farmacêuticos;Química;2011;164
Motores - bombas - turbinas;Engenharia mecânica;2011;162
Aparelhos e processos térmicos;Engenharia mecânica;2011;157
Química de alimentos;Química;2011;152
Máquinas ferramentas;Engenharia mecânica;2011;151
Controle;Instrumentos;2011;128
Tecnologia audiovisual;Engenharia elétrica;2011;128
Química orgânica fina;Química;2011;117
Tecnologia aplicada ao meio ambiente;Química;2011;114
Materiais - metalurgia;Química;2011;114
Tecnologia da computação;Engenharia elétrica;2011;101
Máquinas têxteis e de papel;Engenharia mecânica;2011;97
Biotecnologia;Química;2011;89
Química macromolecular e polímeros;Química;2011;75
Telecomunicações;Engenharia elétrica;2011;70
Tecnologia de superfícies e revestimentos;Química;2011;59
Métodos de gestão em TI;Engenharia elétrica;2011;58
Comunicação digital;Engenharia elétrica;2011;47
Ótica;Instrumentos;2011;27
Análise de material biológico;Instrumentos;2011;21
Processos básicos de comunicação;Engenharia elétrica;2011;10
Microestruturas e nanotecnologia;Química;2011;8
Semicondutores;Engenharia elétrica;2011;6
Mobiliário - jogos;Outras áreas;2012;566
Outras maquinas especiais;Engenharia mecânica;2012;549
Engenharia civil;Outras áreas;2012;535
Transporte;Engenharia mecânica;2012;492
Manejo;Engenharia mecânica;2012;459
Outros bens de consumo;Outras áreas;2012;408
Tecnologia aplicada a medicina;Instrumentos;2012;361
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2012;298
Engenharia química;Química;2012;223
Produtos farmacêuticos;Química;2012;192
Medição;Instrumentos;2012;175
Química de materiais básicos;Química;2012;170
Elementos mecânicos;Engenharia mecânica;2012;166
Aparelhos e processos térmicos;Engenharia mecânica;2012;151
Motores - bombas - turbinas;Engenharia mecânica;2012;150
Máquinas ferramentas;Engenharia mecânica;2012;144
Controle;Instrumentos;2012;133
Tecnologia aplicada ao meio ambiente;Química;2012;127
Tecnologia audiovisual;Engenharia elétrica;2012;124
Química de alimentos;Química;2012;121
Biotecnologia;Química;2012;119
Química orgânica fina;Química;2012;114
Materiais - metalurgia;Química;2012;111
Tecnologia da computação;Engenharia elétrica;2012;102
Métodos de gestão em TI;Engenharia elétrica;2012;90
Máquinas têxteis e de papel;Engenharia mecânica;2012;80
Comunicação digital;Engenharia elétrica;2012;66
Telecomunicações;Engenharia elétrica;2012;63
Tecnologia de superfícies e revestimentos;Química;2012;53
Química macromolecular e polímeros;Química;2012;52
Ótica;Instrumentos;2012;40
Análise de material biológico;Instrumentos;2012;22
Processos básicos de comunicação;Engenharia elétrica;2012;17
Semicondutores;Engenharia elétrica;2012;9
Microestruturas e nanotecnologia;Química;2012;4
Outras maquinas especiais;Engenharia mecânica;2013;600
Engenharia civil;Outras áreas;2013;559
Mobiliário - jogos;Outras áreas;2013;551
Transporte;Engenharia mecânica;2013;463
Outros bens de consumo;Outras áreas;2013;404
Manejo;Engenharia mecânica;2013;370
Tecnologia aplicada a medicina;Instrumentos;2013;335
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2013;281
Elementos mecânicos;Engenharia mecânica;2013;186
Engenharia química;Química;2013;178
Produtos farmacêuticos;Química;2013;178
Tecnologia aplicada ao meio ambiente;Química;2013;165
Química de alimentos;Química;2013;164
Química de materiais básicos;Química;2013;155
Controle;Instrumentos;2013;154
Medição;Instrumentos;2013;153
Aparelhos e processos térmicos;Engenharia mecânica;2013;148
Materiais - metalurgia;Química;2013;146
Motores - bombas - turbinas;Engenharia mecânica;2013;141
Máquinas ferramentas;Engenharia mecânica;2013;139
Biotecnologia;Química;2013;127
Química orgânica fina;Química;2013;126
Métodos de gestão em TI;Engenharia elétrica;2013;109
Tecnologia da computação;Engenharia elétrica;2013;104
Tecnologia audiovisual;Engenharia elétrica;2013;102
Máquinas têxteis e de papel;Engenharia mecânica;2013;77
Comunicação digital;Engenharia elétrica;2013;65
Telecomunicações;Engenharia elétrica;2013;62
Química macromolecular e polímeros;Química;2013;53
Tecnologia de superfícies e revestimentos;Química;2013;51
Análise de material biológico;Instrumentos;2013;28
Ótica;Instrumentos;2013;27
Processos básicos de comunicação;Engenharia elétrica;2013;14
Semicondutores;Engenharia elétrica;2013;6
Microestruturas e nanotecnologia;Química;2013;1
Engenharia civil;Outras áreas;2014;517
Outras maquinas especiais;Engenharia mecânica;2014;487
Mobiliário - jogos;Outras áreas;2014;381
Transporte;Engenharia mecânica;2014;376
Manejo;Engenharia mecânica;2014;353
Tecnologia aplicada a medicina;Instrumentos;2014;294
Outros bens de consumo;Outras áreas;2014;278
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2014;206
Engenharia química;Química;2014;188
Medição;Instrumentos;2014;172
Elementos mecânicos;Engenharia mecânica;2014;162
Controle;Instrumentos;2014;156
Máquinas ferramentas;Engenharia mecânica;2014;152
Química de materiais básicos;Química;2014;144
Produtos farmacêuticos;Química;2014;141
Química de alimentos;Química;2014;134
Tecnologia aplicada ao meio ambiente;Química;2014;129
Aparelhos e processos térmicos;Engenharia mecânica;2014;113
Motores - bombas - turbinas;Engenharia mecânica;2014;113
Química orgânica fina;Química;2014;113
Biotecnologia;Química;2014;111
Materiais - metalurgia;Química;2014;103
Tecnologia da computação;Engenharia elétrica;2014;94
Tecnologia de superfícies e revestimentos;Química;2014;66
Métodos de gestão em TI;Engenharia elétrica;2014;63
Tecnologia audiovisual;Engenharia elétrica;2014;60
Química macromolecular e polímeros;Química;2014;57
Comunicação digital;Engenharia elétrica;2014;56
Máquinas têxteis e de papel;Engenharia mecânica;2014;53
Telecomunicações;Engenharia elétrica;2014;47
Ótica;Instrumentos;2014;30
Análise de material biológico;Instrumentos;2014;24
Processos básicos de comunicação;Engenharia elétrica;2014;12
Semicondutores;Engenharia elétrica;2014;8
Microestruturas e nanotecnologia;Química;2014;5
Engenharia civil;Outras áreas;2015;501
Outras maquinas especiais;Engenharia mecânica;2015;452
Mobiliário - jogos;Outras áreas;2015;434
Transporte;Engenharia mecânica;2015;348
Manejo;Engenharia mecânica;2015;307
Tecnologia aplicada a medicina;Instrumentos;2015;300
Outros bens de consumo;Outras áreas;2015;272
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2015;212
Engenharia química;Química;2015;183
Medição;Instrumentos;2015;183
Produtos farmacêuticos;Química;2015;170
Química de alimentos;Química;2015;153
Elementos mecânicos;Engenharia mecânica;2015;152
Química de materiais básicos;Química;2015;146
Biotecnologia;Química;2015;135
Controle;Instrumentos;2015;134
Aparelhos e processos térmicos;Engenharia mecânica;2015;133
Tecnologia aplicada ao meio ambiente;Química;2015;128
Motores - bombas - turbinas;Engenharia mecânica;2015;125
Máquinas ferramentas;Engenharia mecânica;2015;122
Química orgânica fina;Química;2015;111
Materiais - metalurgia;Química;2015;88
Tecnologia da computação;Engenharia elétrica;2015;88
Métodos de gestão em TI;Engenharia elétrica;2015;80
Comunicação digital;Engenharia elétrica;2015;67
Máquinas têxteis e de papel;Engenharia mecânica;2015;58
Tecnologia audiovisual;Engenharia elétrica;2015;53
Telecomunicações;Engenharia elétrica;2015;52
Química macromolecular e polímeros;Química;2015;44
Análise de material biológico;Instrumentos;2015;44
Tecnologia de superfícies e revestimentos;Química;2015;38
Ótica;Instrumentos;2015;28
Semicondutores;Engenharia elétrica;2015;8
Processos básicos de comunicação;Engenharia elétrica;2015;5
Microestruturas e nanotecnologia;Química;2015;1
Outras maquinas especiais;Engenharia mecânica;2016;558
Engenharia civil;Outras áreas;2016;506
Mobiliário - jogos;Outras áreas;2016;462
Manejo;Engenharia mecânica;2016;371
Transporte;Engenharia mecânica;2016;366
Tecnologia aplicada a medicina;Instrumentos;2016;347
Outros bens de consumo;Outras áreas;2016;297
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2016;225
Química de alimentos;Química;2016;210
Produtos farmacêuticos;Química;2016;189
Química de materiais básicos;Química;2016;185
Engenharia química;Química;2016;184
Medição;Instrumentos;2016;161
Química orgânica fina;Química;2016;151
Máquinas ferramentas;Engenharia mecânica;2016;147
Elementos mecânicos;Engenharia mecânica;2016;132
Controle;Instrumentos;2016;131
Biotecnologia;Química;2016;127
Motores - bombas - turbinas;Engenharia mecânica;2016;115
Materiais - metalurgia;Química;2016;110
Tecnologia aplicada ao meio ambiente;Química;2016;107
Tecnologia da computação;Engenharia elétrica;2016;98
Aparelhos e processos térmicos;Engenharia mecânica;2016;93
Métodos de gestão em TI;Engenharia elétrica;2016;90
Química macromolecular e polímeros;Química;2016;61
Máquinas têxteis e de papel;Engenharia mecânica;2016;57
Telecomunicações;Engenharia elétrica;2016;56
Tecnologia audiovisual;Engenharia elétrica;2016;55
Tecnologia de superfícies e revestimentos;Química;2016;53
Comunicação digital;Engenharia elétrica;2016;46
Ótica;Instrumentos;2016;37
Análise de material biológico;Instrumentos;2016;30
Semicondutores;Engenharia elétrica;2016;12
Processos básicos de comunicação;Engenharia elétrica;2016;10
Microestruturas e nanotecnologia;Química;2016;5
