Campo_Tec;Area_Tec;Ano;Depósitos
Máquinas ferramentas;Engenharia mecânica;1996;104
Tecnologia de superfícies e revestimentos;Química;1996;91
Medição;Instrumentos;1996;81
Engenharia civil;Outras áreas;1996;79
Outros bens de consumo;Outras áreas;1996;69
Química de alimentos;Química;1996;61
Controle;Instrumentos;1996;61
Motores - bombas - turbinas;Engenharia mecânica;1996;55
Aparelhos e processos térmicos;Engenharia mecânica;1996;52
Mobiliário - jogos;Outras áreas;1996;47
Tecnologia aplicada ao meio ambiente;Química;1996;42
Comunicação digital;Engenharia elétrica;1996;33
Processos básicos de comunicação;Engenharia elétrica;1996;27
Análise de material biológico;Instrumentos;1996;23
Semicondutores;Engenharia elétrica;1996;7
Métodos de gestão em TI;Engenharia elétrica;1996;
Microestruturas e nanotecnologia;Química;1996;
Química de materiais básicos;Química;1997;543
Química orgânica fina;Química;1997;438
Produtos farmacêuticos;Química;1997;360
Telecomunicações;Engenharia elétrica;1997;351
Tecnologia aplicada a medicina;Instrumentos;1997;340
Química macromolecular e polímeros;Química;1997;289
Outras maquinas especiais;Engenharia mecânica;1997;270
Manejo;Engenharia mecânica;1997;239
Engenharia química;Química;1997;195
Biotecnologia;Química;1997;191
Máquinas têxteis e de papel;Engenharia mecânica;1997;188
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1997;186
Elementos mecânicos;Engenharia mecânica;1997;180
Transporte;Engenharia mecânica;1997;170
Ótica;Instrumentos;1997;129
Tecnologia de superfícies e revestimentos;Química;1997;126
Tecnologia audiovisual;Engenharia elétrica;1997;126
Medição;Instrumentos;1997;110
Máquinas ferramentas;Engenharia mecânica;1997;106
Materiais - metalurgia;Química;1997;106
Outros bens de consumo;Outras áreas;1997;92
Engenharia civil;Outras áreas;1997;84
Tecnologia da computação;Engenharia elétrica;1997;82
Química de alimentos;Química;1997;71
Controle;Instrumentos;1997;70
Comunicação digital;Engenharia elétrica;1997;61
Aparelhos e processos térmicos;Engenharia mecânica;1997;57
Motores - bombas - turbinas;Engenharia mecânica;1997;54
Mobiliário - jogos;Outras áreas;1997;52
Tecnologia aplicada ao meio ambiente;Química;1997;44
Processos básicos de comunicação;Engenharia elétrica;1997;43
Análise de material biológico;Instrumentos;1997;27
Semicondutores;Engenharia elétrica;1997;5
Métodos de gestão em TI;Engenharia elétrica;1997;
Microestruturas e nanotecnologia;Química;1997;
Química de materiais básicos;Química;1998;496
Química orgânica fina;Química;1998;494
Produtos farmacêuticos;Química;1998;492
