Campo_Tec;Area_Tec;Ano;Depósitos
Métodos de gestão em TI;Engenharia elétrica;2010;159
Tecnologia de superfícies e revestimentos;Química;2010;149
Máquinas ferramentas;Engenharia mecânica;2010;127
Telecomunicações;Engenharia elétrica;2010;121
Mobiliário - jogos;Outras áreas;2010;118
Outros bens de consumo;Outras áreas;2010;115
Materiais - metalurgia;Química;2010;111
Ótica;Instrumentos;2010;107
Tecnologia aplicada ao meio ambiente;Química;2010;100
Tecnologia audiovisual;Engenharia elétrica;2010;96
Controle;Instrumentos;2010;80
Análise de material biológico;Instrumentos;2010;78
Aparelhos e processos térmicos;Engenharia mecânica;2010;77
Semicondutores;Engenharia elétrica;2010;46
Processos básicos de comunicação;Engenharia elétrica;2010;25
Microestruturas e nanotecnologia;Química;2010;8
Tecnologia aplicada a medicina;Instrumentos;2011;738
Química de materiais básicos;Química;2011;641
Química orgânica fina;Química;2011;579
Engenharia civil;Outras áreas;2011;555
Produtos farmacêuticos;Química;2011;473
Biotecnologia;Química;2011;411
Tecnologia da computação;Engenharia elétrica;2011;373
Medição;Instrumentos;2011;369
Química macromolecular e polímeros;Química;2011;347
Engenharia química;Química;2011;333
Manejo;Engenharia mecânica;2011;276
Outras maquinas especiais;Engenharia mecânica;2011;260
Comunicação digital;Engenharia elétrica;2011;257
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2011;257
Elementos mecânicos;Engenharia mecânica;2011;247
Transporte;Engenharia mecânica;2011;242
Química de alimentos;Química;2011;207
Máquinas têxteis e de papel;Engenharia mecânica;2011;179
Máquinas ferramentas;Engenharia mecânica;2011;178
Motores - bombas - turbinas;Engenharia mecânica;2011;177
Tecnologia de superfícies e revestimentos;Química;2011;157
Materiais - metalurgia;Química;2011;146
Outros bens de consumo;Outras áreas;2011;143
Métodos de gestão em TI;Engenharia elétrica;2011;138
Tecnologia aplicada ao meio ambiente;Química;2011;115
Tecnologia audiovisual;Engenharia elétrica;2011;112
Ótica;Instrumentos;2011;109
Telecomunicações;Engenharia elétrica;2011;108
Mobiliário - jogos;Outras áreas;2011;89
Aparelhos e processos térmicos;Engenharia mecânica;2011;85
Controle;Instrumentos;2011;83
Análise de material biológico;Instrumentos;2011;65
Semicondutores;Engenharia elétrica;2011;59
Processos básicos de comunicação;Engenharia elétrica;2011;12
Microestruturas e nanotecnologia;Química;2011;1
Tecnologia aplicada a medicina;Instrumentos;2012;815
Engenharia civil;Outras áreas;2012;701
Química de materiais básicos;Química;2012;578
Química orgânica fina;Química;2012;573
Produtos farmacêuticos;Química;2012;566
Biotecnologia;Química;2012;478
Tecnologia da computação;Engenharia elétrica;2012;419
Medição;Instrumentos;2012;391
Química macromolecular e polímeros;Química;2012;351
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2012;326
Engenharia química;Química;2012;296
Outras maquinas especiais;Engenharia mecânica;2012;284
Comunicação digital;Engenharia elétrica;2012;264
Transporte;Engenharia mecânica;2012;255
Elementos mecânicos;Engenharia mecânica;2012;217
Manejo;Engenharia mecânica;2012;215
Química de alimentos;Química;2012;197
Motores - bombas - turbinas;Engenharia mecânica;2012;185
Máquinas ferramentas;Engenharia mecânica;2012;169
Máquinas têxteis e de papel;Engenharia mecânica;2012;164
Materiais - metalurgia;Química;2012;159
Tecnologia audiovisual;Engenharia elétrica;2012;149
Outros bens de consumo;Outras áreas;2012;135
Tecnologia de superfícies e revestimentos;Química;2012;130
Métodos de gestão em TI;Engenharia elétrica;2012;127
Mobiliário - jogos;Outras áreas;2012;124
Ótica;Instrumentos;2012;114
Tecnologia aplicada ao meio ambiente;Química;2012;112
Controle;Instrumentos;2012;99
Telecomunicações;Engenharia elétrica;2012;98
Aparelhos e processos térmicos;Engenharia mecânica;2012;59
Análise de material biológico;Instrumentos;2012;54
Semicondutores;Engenharia elétrica;2012;54
Processos básicos de comunicação;Engenharia elétrica;2012;20
Microestruturas e nanotecnologia;Química;2012;8
Tecnologia aplicada a medicina;Instrumentos;2013;780
Química de materiais básicos;Química;2013;709
Engenharia civil;Outras áreas;2013;707
Produtos farmacêuticos;Química;2013;581
Química orgânica fina;Química;2013;563
Biotecnologia;Química;2013;526
Tecnologia da computação;Engenharia elétrica;2013;491
Medição;Instrumentos;2013;424
Transporte;Engenharia mecânica;2013;371
Outras maquinas especiais;Engenharia mecânica;2013;335
Química macromolecular e polímeros;Química;2013;334
Engenharia química;Química;2013;311
Manejo;Engenharia mecânica;2013;304
Motores - bombas - turbinas;Engenharia mecânica;2013;300
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2013;281
Elementos mecânicos;Engenharia mecânica;2013;268
Comunicação digital;Engenharia elétrica;2013;247
Máquinas ferramentas;Engenharia mecânica;2013;216
Química de alimentos;Química;2013;197
Materiais - metalurgia;Química;2013;169
Máquinas têxteis e de papel;Engenharia mecânica;2013;160
Tecnologia audiovisual;Engenharia elétrica;2013;153
Tecnologia de superfícies e revestimentos;Química;2013;152
Ótica;Instrumentos;2013;130
Métodos de gestão em TI;Engenharia elétrica;2013;120
Controle;Instrumentos;2013;118
Outros bens de consumo;Outras áreas;2013;115
Mobiliário - jogos;Outras áreas;2013;113
Telecomunicações;Engenharia elétrica;2013;105
Tecnologia aplicada ao meio ambiente;Química;2013;94
Aparelhos e processos térmicos;Engenharia mecânica;2013;79
Análise de material biológico;Instrumentos;2013;63
Semicondutores;Engenharia elétrica;2013;43
Processos básicos de comunicação;Engenharia elétrica;2013;14
Microestruturas e nanotecnologia;Química;2013;3
Tecnologia aplicada a medicina;Instrumentos;2014;801
Química orgânica fina;Química;2014;663
Produtos farmacêuticos;Química;2014;625
Tecnologia da computação;Engenharia elétrica;2014;573
Química de materiais básicos;Química;2014;569
Engenharia civil;Outras áreas;2014;569
Biotecnologia;Química;2014;497
Comunicação digital;Engenharia elétrica;2014;470
Transporte;Engenharia mecânica;2014;399
Outras maquinas especiais;Engenharia mecânica;2014;371
Química macromolecular e polímeros;Química;2014;327
Medição;Instrumentos;2014;314
Engenharia química;Química;2014;299
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2014;283
Manejo;Engenharia mecânica;2014;251
Elementos mecânicos;Engenharia mecânica;2014;248
Motores - bombas - turbinas;Engenharia mecânica;2014;200
Química de alimentos;Química;2014;200
Outros bens de consumo;Outras áreas;2014;177
Máquinas ferramentas;Engenharia mecânica;2014;168
Ótica;Instrumentos;2014;167
Tecnologia audiovisual;Engenharia elétrica;2014;164
Métodos de gestão em TI;Engenharia elétrica;2014;154
Tecnologia de superfícies e revestimentos;Química;2014;150
Materiais - metalurgia;Química;2014;150
Máquinas têxteis e de papel;Engenharia mecânica;2014;143
Controle;Instrumentos;2014;108
Mobiliário - jogos;Outras áreas;2014;94
Telecomunicações;Engenharia elétrica;2014;78
Tecnologia aplicada ao meio ambiente;Química;2014;76
Aparelhos e processos térmicos;Engenharia mecânica;2014;72
Análise de material biológico;Instrumentos;2014;69
Semicondutores;Engenharia elétrica;2014;65
Processos básicos de comunicação;Engenharia elétrica;2014;29
Microestruturas e nanotecnologia;Química;2014;4
Comunicação digital;Engenharia elétrica;2015;785
Tecnologia aplicada a medicina;Instrumentos;2015;566
Produtos farmacêuticos;Química;2015;557
Tecnologia da computação;Engenharia elétrica;2015;528
Química de materiais básicos;Química;2015;479
Química orgânica fina;Química;2015;472
Transporte;Engenharia mecânica;2015;471
Engenharia civil;Outras áreas;2015;468
Biotecnologia;Química;2015;461
Outras maquinas especiais;Engenharia mecânica;2015;373
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2015;296
Química macromolecular e polímeros;Química;2015;282
Medição;Instrumentos;2015;272
Motores - bombas - turbinas;Engenharia mecânica;2015;208
Engenharia química;Química;2015;198
Manejo;Engenharia mecânica;2015;198
Elementos mecânicos;Engenharia mecânica;2015;189
Tecnologia audiovisual;Engenharia elétrica;2015;174
Telecomunicações;Engenharia elétrica;2015;154
Máquinas ferramentas;Engenharia mecânica;2015;150
Métodos de gestão em TI;Engenharia elétrica;2015;142
Tecnologia de superfícies e revestimentos;Química;2015;132
Máquinas têxteis e de papel;Engenharia mecânica;2015;108
Química de alimentos;Química;2015;105
Ótica;Instrumentos;2015;100
Mobiliário - jogos;Outras áreas;2015;96
Materiais - metalurgia;Química;2015;91
Controle;Instrumentos;2015;84
Outros bens de consumo;Outras áreas;2015;75
Tecnologia aplicada ao meio ambiente;Química;2015;70
Aparelhos e processos térmicos;Engenharia mecânica;2015;54
Semicondutores;Engenharia elétrica;2015;49
Processos básicos de comunicação;Engenharia elétrica;2015;44
Análise de material biológico;Instrumentos;2015;42
Microestruturas e nanotecnologia;Química;2015;1
Tecnologia aplicada a medicina;Instrumentos;2016;646
Produtos farmacêuticos;Química;2016;612
Comunicação digital;Engenharia elétrica;2016;604
Química orgânica fina;Química;2016;477
Transporte;Engenharia mecânica;2016;444
Biotecnologia;Química;2016;434
Química de materiais básicos;Química;2016;433
Outras maquinas especiais;Engenharia mecânica;2016;366
Engenharia civil;Outras áreas;2016;325
Tecnologia da computação;Engenharia elétrica;2016;310
Química macromolecular e polímeros;Química;2016;304
Motores - bombas - turbinas;Engenharia mecânica;2016;295
Medição;Instrumentos;2016;272
Engenharia química;Química;2016;249
Elementos mecânicos;Engenharia mecânica;2016;202
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2016;183
Manejo;Engenharia mecânica;2016;181
Química de alimentos;Química;2016;141
Materiais - metalurgia;Química;2016;128
Tecnologia de superfícies e revestimentos;Química;2016;126
Tecnologia audiovisual;Engenharia elétrica;2016;123
Métodos de gestão em TI;Engenharia elétrica;2016;123
Telecomunicações;Engenharia elétrica;2016;112
Máquinas têxteis e de papel;Engenharia mecânica;2016;107
Máquinas ferramentas;Engenharia mecânica;2016;101
Outros bens de consumo;Outras áreas;2016;76
Mobiliário - jogos;Outras áreas;2016;69
Controle;Instrumentos;2016;66
Ótica;Instrumentos;2016;63
Semicondutores;Engenharia elétrica;2016;53
Tecnologia aplicada ao meio ambiente;Química;2016;51
Análise de material biológico;Instrumentos;2016;39
Aparelhos e processos térmicos;Engenharia mecânica;2016;36
Processos básicos de comunicação;Engenharia elétrica;2016;30
Microestruturas e nanotecnologia;Química;2016;3
